,Track,Car,Session,CurrentSector,LapsCompleted,BestLapTime,LastLapTime,LastSplitTime,Clock,AmbientTemperature,TrackTemperature,GripStatus,RainLevel,WindSpeed,WindDirection,RainTyres,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TractionControl,TractionControlCut,ABS,BrakeBalance,EngineMap,CurrentFuel,UsedFuel,FuelPerLap,EstimatedFuelLaps
0,monza,lamborghini_huracan_gt3_evo,1,1,0,NULL,NULL,252,43769.68359375,26.909,33.409,1,0,0.0,0.0,0,71.75,69.473,73.517,71.768,26.368,27.05,25.838,26.57,5,0,4,0.736,0,46.875,1.125,1079152476,14.248
1,monza,lamborghini_huracan_gt3_evo,1,2,0,NULL,NULL,257,43814.6953125,26.916,33.431,1,0,0.0,0.0,0,80.624,73.31,79.72,73.883,27.221,27.419,26.434,26.774,5,0,4,0.736,0,45.903,2.097,1079152476,13.952
2,monza,lamborghini_huracan_gt3_evo,1,0,1,NULL,193713,257,43854.703125,26.922,33.451,1,0,0.0,0.0,0,81.389,73.795,81.221,75.079,27.295,27.466,26.579,26.889,5,0,4,0.736,0,44.841,3.159,1078557184,14.244
3,monza,lamborghini_huracan_gt3_evo,1,1,1,NULL,193713,255,43894.7109375,26.929,33.471,1,0,0.0,0.0,0,83.747,75.083,84.153,76.997,27.522,27.59,26.861,27.074,5,0,4,0.736,0,43.703,4.297,1078557184,13.883
4,monza,lamborghini_huracan_gt3_evo,1,2,1,NULL,193713,255,43934.71875,26.935,33.491,1,0,0.0,0.0,0,88.257,77.239,87.045,78.366,27.955,27.797,27.139,27.205,5,0,4,0.736,0,42.584,5.416,1078557184,13.527
5,monza,lamborghini_huracan_gt3_evo,1,0,2,NULL,115622,257,43974.7265625,26.941,33.511,1,0,0.0,0.0,0,86.004,77.523,85.949,79.181,27.739,27.825,27.034,27.284,5,0,4,0.736,0,41.69,6.31,1078563920,13.236
6,monza,lamborghini_huracan_gt3_evo,1,1,2,NULL,115622,262,44009.734375,26.947,33.528,1,0,0.0,0.0,0,85.611,76.674,86.341,78.955,27.702,27.744,27.072,27.263,5,0,4,0.736,0,40.556,7.444,1078563920,12.876
7,monza,lamborghini_huracan_gt3_evo,1,2,2,NULL,115622,252,44049.7421875,26.953,33.547,1,0,0.0,0.0,0,89.294,78.184,87.898,79.198,28.056,27.889,27.222,27.286,5,0,4,0.736,0,39.454,8.546,1078563920,12.526
8,monza,lamborghini_huracan_gt3_evo,1,0,3,112825,112825,255,44084.74609375,26.959,33.564,1,0,0.0,0.0,0,90.153,80.121,88.152,80.614,28.138,28.075,27.246,27.423,5,0,4,0.736,0,38.319,9.681,1078873216,11.888
9,monza,lamborghini_huracan_gt3_evo,1,1,3,112825,112825,255,44119.57421875,26.964,33.581,1,0,0.0,0.0,0,89.825,79.647,88.576,80.619,28.107,28.03,27.287,27.423,5,0,4,0.736,0,37.175,10.825,1078873216,11.533
10,monza,lamborghini_huracan_gt3_evo,1,2,3,112825,112825,262,44159.58203125,26.97,33.6,1,0,0.0,0.0,0,91.889,79.739,89.766,80.163,28.306,28.039,27.402,27.38,5,0,4,0.736,0,36.043,11.957,1078873216,11.182
11,monza,lamborghini_huracan_gt3_evo,2,1,0,NULL,NULL,255,47143.6328125,27.322,34.702,2,0,0.0,0.0,0,80.457,77.097,79.207,77.196,26.605,27.183,26.385,27.092,5,0,4,0.736,0,45.928,2.072,1079152476,13.96
12,monza,lamborghini_huracan_gt3_evo,2,2,0,NULL,NULL,255,47223.6484375,27.328,34.723,2,0,0.0,0.0,0,86.62,77.993,83.874,78.036,27.197,27.269,26.834,27.173,5,0,4,0.736,0,44.846,3.154,1079152476,13.631
13,monza,lamborghini_huracan_gt3_evo,2,0,1,NULL,251577,257,47293.66015625,27.334,34.74,2,0,0.0,0.0,0,87.676,79.381,85.42,79.924,27.207,27.361,26.982,27.277,5,0,4,0.736,0,43.733,4.267,1079630816,12.847
14,monza,lamborghini_huracan_gt3_evo,2,1,1,NULL,251577,265,47373.6796875,27.34,34.76,2,0,0.0,0.0,0,88.422,79.295,87.085,80.335,27.279,27.353,27.143,27.118,5,0,4,0.736,0,42.592,5.408,1079630816,12.512
15,monza,lamborghini_huracan_gt3_evo,2,2,1,NULL,251577,265,47453.6953125,27.346,34.779,2,0,0.0,0.0,0,91.997,80.019,90.38,80.912,27.623,27.423,27.459,27.174,5,0,4,0.736,0,41.48,6.52,1079630816,12.186
16,monza,lamborghini_huracan_gt3_evo,2,0,2,NULL,111730,260,47523.70703125,27.351,34.795,2,0,0.0,0.0,0,92.053,81.656,90.603,82.106,27.629,27.58,27.481,27.289,5,0,4,0.736,0,40.34,7.66,1079608352,11.869
17,monza,lamborghini_huracan_gt3_evo,2,1,2,NULL,111730,262,47593.72265625,27.356,34.811,2,0,0.0,0.0,0,91.04,80.675,90.251,81.764,27.532,27.486,27.448,27.256,5,0,4,0.736,0,39.199,8.801,1079608352,11.534
18,monza,lamborghini_huracan_gt3_evo,2,2,2,NULL,111730,267,47673.73828125,27.362,34.828,2,0,0.0,0.0,0,91.789,80.998,90.611,81.825,27.604,27.478,27.482,27.231,5,0,4,0.736,0,38.064,9.936,1079608352,11.2
19,monza,lamborghini_huracan_gt3_evo,2,0,3,NULL,113927,255,47753.75390625,27.367,34.845,2,0,0.0,0.0,0,91.026,82.289,90.026,82.777,27.531,27.602,27.427,27.322,5,0,4,0.736,0,36.895,11.105,1079672821,10.807
20,monza,lamborghini_huracan_gt3_evo,2,1,3,NULL,113927,252,47823.76953125,27.372,34.86,2,0,0.0,0.0,0,90.06,81.26,89.599,82.32,27.439,27.504,27.386,27.279,5,0,4,0.736,0,35.742,12.258,1079672821,10.469
21,monza,lamborghini_huracan_gt3_evo,2,2,3,NULL,113927,262,47903.78515625,27.377,34.876,2,0,0.0,0.0,0,92.15,81.017,89.939,81.524,27.639,27.481,27.419,27.203,5,0,4,0.736,0,34.635,13.365,1079672821,10.145
