,Track,Car,Session,CurrentSector,LapsCompleted,BestLapTime,LastLapTime,LastSplitTime,Clock,AmbientTemperature,TrackTemperature,GripStatus,RainLevel,WindSpeed,WindDirection,RainTyres,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TractionControl,TractionControlCut,ABS,BrakeBalance,EngineMap,CurrentFuel,UsedFuel,FuelPerLap,EstimatedFuelLaps
20,monza,ferrari_488_gt3_evo,2,2,4,112135,113950,262,48146.26171875,22.472,29.554,2,0,0.0,0.0,0,87.417,75.111,84.554,76.857,27.281,27.092,27.026,26.864,6,6,6,0.75,2,28.794,15.206,1078449704,9.222
21,monza,ferrari_488_gt3_evo,2,0,5,112135,113162,252,48216.27734375,22.476,29.566,2,0,0.0,0.0,0,87.574,75.848,83.948,77.56,27.296,27.163,26.968,26.932,6,6,6,0.75,2,27.76,16.24,1078379524,8.938
22,monza,ferrari_488_gt3_evo,2,1,5,112135,113162,260,48286.2890625,22.479,29.578,2,0,0.0,0.0,0,86.354,74.319,83.788,76.975,27.179,27.016,26.953,26.876,6,6,6,0.75,2,26.716,17.284,1078379524,8.602
23,monza,ferrari_488_gt3_evo,2,2,5,112135,113162,260,48366.3046875,22.484,29.59,2,0,0.0,0.0,0,89.175,74.461,85.795,77.447,27.45,27.03,27.146,26.921,6,6,6,0.75,2,25.685,18.314,1078379524,8.27
24,monza,ferrari_488_gt3_evo,2,0,6,112135,112562,262,48436.3203125,22.487,29.601,2,0,0.0,0.0,0,88.43,75.598,85.723,79.213,27.379,27.14,27.14,27.091,6,6,6,0.75,2,24.637,19.363,1078403163,7.918
25,monza,ferrari_488_gt3_evo,2,1,6,112135,112562,265,48516.3359375,22.491,29.613,2,0,0.0,0.0,0,86.958,74.245,84.851,78.005,27.238,27.01,27.056,26.975,6,6,6,0.75,2,23.609,20.391,1078403163,7.588
26,monza,ferrari_488_gt3_evo,2,2,6,112135,112562,257,48596.3515625,22.495,29.624,2,0,0.0,0.0,0,88.673,74.27,84.816,77.07,27.403,27.013,27.053,26.886,6,6,6,0.75,2,22.606,21.394,1078403163,7.266
27,monza,ferrari_488_gt3_evo,2,0,7,112135,113580,260,48666.3671875,22.498,29.634,2,0,0.0,0.0,0,87.525,75.273,84.058,78.012,27.293,27.109,26.98,26.976,6,6,6,0.75,2,21.574,22.426,1078202488,7.042
28,monza,ferrari_488_gt3_evo,2,1,7,112135,113580,257,48736.37890625,22.501,29.643,2,0,0.0,0.0,0,85.52,73.917,83.848,77.366,27.1,26.979,26.96,26.915,6,6,6,0.75,2,20.543,23.457,1078202488,6.706
29,monza,ferrari_488_gt3_evo,2,2,7,112135,113580,252,48816.39453125,22.504,29.653,2,0,0.0,0.0,0,87.828,74.988,84.059,76.732,27.322,27.082,26.981,26.854,6,6,6,0.75,2,19.556,24.444,1078202488,6.383
30,monza,ferrari_488_gt3_evo,2,0,8,112135,114602,252,48896.41015625,22.507,29.663,2,0,0.0,0.0,0,87.506,75.637,83.661,77.28,27.292,27.145,26.943,26.907,6,6,6,0.75,2,18.521,25.479,1078180516,6.056
31,monza,ferrari_488_gt3_evo,2,1,8,112135,114602,260,48966.42578125,22.51,29.671,2,0,0.0,0.0,0,86.007,74.831,83.631,77.0,27.148,27.067,26.94,26.88,6,6,6,0.75,2,17.485,26.515,1078180516,5.717
32,monza,ferrari_488_gt3_evo,2,2,8,112135,114602,255,49046.44140625,22.513,29.679,2,0,0.0,0.0,0,88.524,75.254,84.442,76.653,27.39,27.108,27.018,26.847,6,6,6,0.75,2,16.468,27.532,1078180516,5.385
33,monza,ferrari_488_gt3_evo,2,0,9,111870,111870,255,49116.45703125,22.515,29.686,2,0,0.0,0.0,0,87.765,75.832,83.861,77.455,27.317,27.164,26.963,26.924,6,6,6,0.75,2,15.435,28.565,1078218941,5.032
34,monza,ferrari_488_gt3_evo,2,1,9,111870,111870,262,49196.47265625,22.518,29.694,2,0,0.0,0.0,0,85.709,74.373,83.584,76.969,27.12,27.024,26.936,26.878,6,6,6,0.75,2,14.402,29.598,1078218941,4.695
35,monza,ferrari_488_gt3_evo,2,2,9,111870,111870,260,49276.48828125,22.52,29.701,2,0,0.0,0.0,0,87.46,74.264,83.829,76.28,27.288,27.014,26.96,26.812,6,6,6,0.75,2,13.419,30.581,1078218941,4.375
36,monza,ferrari_488_gt3_evo,2,0,10,111870,112680,257,49346.50390625,22.522,29.707,2,0,0.0,0.0,0,87.327,75.423,83.443,77.353,27.275,27.125,26.923,26.915,6,6,6,0.75,2,12.399,31.601,1078084996,4.085
37,monza,ferrari_488_gt3_evo,2,1,10,111870,112680,257,49416.515625,22.524,29.713,2,0,0.0,0.0,0,85.877,74.288,83.375,76.992,27.136,27.016,26.916,26.88,6,6,6,0.75,2,11.364,32.635,1078084996,3.744
38,monza,ferrari_488_gt3_evo,2,2,10,111870,112680,257,49493.5078125,22.526,29.718,2,0,0.0,0.0,0,88.676,74.352,84.006,76.399,27.405,27.022,26.977,26.823,6,6,6,0.75,2,10.371,33.629,1078084996,3.417
39,monza,ferrari_488_gt3_evo,2,0,11,111870,112050,255,49573.5234375,22.527,29.724,2,0,0.0,0.0,0,88.208,75.503,83.377,77.096,27.36,27.133,26.917,26.89,6,6,6,0.75,2,9.363,34.637,1078106692,3.079
40,monza,lamborghini_huracan_gt3_evo,1,1,0,NULL,NULL,265,43283.2265625,21.907,27.851,1,0,0.0,0.0,0,70.155,67.683,72.438,70.396,26.216,26.878,25.735,26.439,5,0,6,0.736,0,18.857,1.142,1079152476,5.732
41,monza,lamborghini_huracan_gt3_evo,1,2,0,NULL,NULL,255,43318.234375,21.913,27.869,1,0,0.0,0.0,0,78.544,69.83,78.231,72.064,27.021,27.085,26.291,26.599,5,0,6,0.736,0,17.791,2.209,1079152476,5.407
42,monza,lamborghini_huracan_gt3_evo,1,0,1,NULL,179216,262,43358.2421875,21.92,27.89,1,0,0.0,0.0,0,82.031,72.027,83.429,74.939,27.356,27.296,26.791,26.876,5,0,6,0.736,0,16.659,3.341,1079319192,5.003
43,monza,lamborghini_huracan_gt3_evo,1,1,1,NULL,179216,260,43393.25,21.926,27.908,1,0,0.0,0.0,0,82.276,71.818,84.34,75.406,27.38,27.276,26.879,26.921,5,0,6,0.736,0,15.536,4.464,1079319192,4.666
44,monza,lamborghini_huracan_gt3_evo,1,2,1,NULL,179216,265,43433.2578125,21.933,27.928,1,0,0.0,0.0,0,85.289,72.822,85.63,75.504,27.67,27.373,27.003,26.931,5,0,6,0.736,0,14.44,5.56,1079319192,4.337
45,monza,lamborghini_huracan_gt3_evo,1,0,2,NULL,115680,252,43473.265625,21.94,27.948,1,0,0.0,0.0,0,84.467,74.389,86.656,77.362,27.592,27.521,27.082,27.109,5,0,6,0.736,0,13.328,6.672,1079326298,4.001
46,monza,lamborghini_huracan_gt3_evo,1,1,2,NULL,115680,252,43588.28515625,21.959,28.006,1,0,0.0,0.0,0,70.2,68.013,74.872,73.045,26.22,26.91,26.468,27.193,5,0,6,0.736,0,18.791,1.208,1079326298,5.641
47,monza,lamborghini_huracan_gt3_evo,1,2,2,NULL,115680,255,43628.296875,21.966,28.026,1,0,0.0,0.0,0,78.764,70.212,79.978,73.669,27.042,27.121,26.959,27.253,5,0,6,0.736,0,17.694,2.306,1079326298,5.311
48,monza,lamborghini_huracan_gt3_evo,1,0,3,NULL,190545,265,43663.30078125,21.971,28.043,1,0,0.0,0.0,0,81.618,72.591,81.622,75.08,27.317,27.35,27.117,27.389,5,0,6,0.736,0,16.537,3.463,1079494175,4.905
49,monza,lamborghini_huracan_gt3_evo,1,1,3,NULL,190545,265,43698.30859375,21.977,28.06,1,0,0.0,0.0,0,82.474,72.635,82.749,75.253,27.399,27.355,27.226,27.406,4,0,6,0.736,0,15.397,4.603,1079494175,4.567
50,monza,lamborghini_huracan_gt3_evo,1,2,3,NULL,190545,252,43738.31640625,21.984,28.08,1,0,0.0,0.0,0,85.438,73.472,84.547,75.185,27.684,27.435,27.399,27.4,4,0,6,0.736,0,14.317,5.683,1079494175,4.247
51,monza,lamborghini_huracan_gt3_evo,1,0,4,111047,111047,260,43778.32421875,21.99,28.099,1,0,0.0,0.0,0,85.539,74.472,84.413,76.166,27.694,27.532,27.386,27.494,4,0,6,0.736,0,13.154,6.846,1079544620,3.888
52,monza,lamborghini_huracan_gt3_evo,1,1,4,111047,111047,252,43813.33203125,21.996,28.116,2,0,0.0,0.0,0,84.452,73.253,84.03,75.599,27.59,27.415,27.35,27.44,4,0,6,0.736,0,12.025,7.975,1079544620,3.554
53,monza,lamborghini_huracan_gt3_evo,1,2,4,111047,111047,255,43848.33984375,22.001,28.133,2,0,0.0,0.0,0,86.296,73.143,84.337,74.731,27.768,27.405,27.38,27.358,4,0,6,0.736,0,10.957,9.043,1079544620,3.238
54,monza,lamborghini_huracan_gt3_evo,1,1,4,111047,111047,270,43948.359375,22.017,28.181,2,0,0.0,0.0,0,70.393,67.846,72.736,70.877,26.038,26.894,26.263,26.985,4,0,5,0.736,0,8.805,1.195,1079544620,2.602
55,monza,lamborghini_huracan_gt3_evo,1,2,4,111047,111047,260,43988.3671875,22.024,28.2,2,0,0.0,0.0,0,78.125,69.497,77.694,71.65,26.781,27.053,26.74,27.059,4,0,5,0.736,0,7.737,2.263,1079544620,2.287
56,monza,lamborghini_huracan_gt3_evo,1,0,5,111047,249265,260,44023.375,22.029,28.216,2,0,0.0,0.0,0,81.461,72.721,80.182,73.74,27.102,27.362,26.979,27.26,4,0,5,0.736,0,6.593,3.407,1079570517,1.945
